launch_time,users,converted_users,event_time,busy,available
2023-12-20 00:00:00,4,0,2023-12-20 00:00:00,94,12
2023-12-20 00:01:00,5,2,2023-12-20 00:01:00,87,18
2023-12-20 00:02:00,7,0,2023-12-20 00:02:00,83,21
2023-12-20 00:03:00,3,1,2023-12-20 00:03:00,80,26
2023-12-20 00:04:00,6,2,2023-12-20 00:04:00,80,24
2023-12-20 00:05:00,7,2,2023-12-20 00:05:00,77,26
2023-12-20 00:06:00,5,1,2023-12-20 00:06:00,76,29
2023-12-20 00:07:00,2,2,2023-12-20 00:07:00,85,22
2023-12-20 00:08:00,10,0,2023-12-20 00:08:00,91,16
2023-12-20 00:09:00,5,0,2023-12-20 00:09:00,80,27
2023-12-20 00:10:00,5,2,2023-12-20 00:10:00,80,27
2023-12-20 00:11:00,3,0,2023-12-20 00:11:00,90,17
2023-12-20 00:12:00,7,0,2023-12-20 00:12:00,91,16
2023-12-20 00:13:00,4,0,2023-12-20 00:13:00,89,17
2023-12-20 00:14:00,3,1,2023-12-20 00:14:00,83,24
2023-12-20 00:15:00,5,0,2023-12-20 00:15:00,77,31
2023-12-20 00:16:00,5,0,2023-12-20 00:16:00,69,38
2023-12-20 00:17:00,4,0,2023-12-20 00:17:00,71,32
2023-12-20 00:18:00,3,1,2023-12-20 00:18:00,84,20
2023-12-20 00:19:00,7,1,2023-12-20 00:19:00,79,28
2023-12-20 00:20:00,4,1,2023-12-20 00:20:00,89,21
2023-12-20 00:21:00,6,1,2023-12-20 00:21:00,97,13
2023-12-20 00:22:00,3,1,2023-12-20 00:22:00,81,20
2023-12-20 00:23:00,9,2,2023-12-20 00:23:00,59,31
2023-12-20 00:24:00,8,1,2023-12-20 00:24:00,55,33
2023-12-20 00:25:00,4,0,2023-12-20 00:25:00,58,19
2023-12-20 00:26:00,4,2,2023-12-20 00:26:00,62,16
2023-12-20 00:27:00,8,0,2023-12-20 00:27:00,66,10
2023-12-20 00:28:00,3,1,2023-12-20 00:28:00,67,9
2023-12-20 00:29:00,5,1,2023-12-20 00:29:00,69,7
2023-12-20 00:30:00,3,1,2023-12-20 00:30:00,66,10
2023-12-20 00:31:00,3,0,2023-12-20 00:31:00,68,8
2023-12-20 00:32:00,7,2,2023-12-20 00:32:00,68,8
2023-12-20 00:33:00,10,1,2023-12-20 00:33:00,69,7
2023-12-20 00:34:00,5,1,2023-12-20 00:34:00,68,8
2023-12-20 00:35:00,8,1,2023-12-20 00:35:00,72,4
2023-12-20 00:36:00,6,0,2023-12-20 00:36:00,73,5
2023-12-20 00:37:00,4,2,2023-12-20 00:37:00,73,5
2023-12-20 00:38:00,8,2,2023-12-20 00:38:00,70,8
2023-12-20 00:39:00,9,2,2023-12-20 00:39:00,67,10
2023-12-20 00:40:00,8,2,2023-12-20 00:40:00,64,16
2023-12-20 00:41:00,5,0,2023-12-20 00:41:00,59,21
2023-12-20 00:42:00,2,0,2023-12-20 00:42:00,59,21
2023-12-20 00:43:00,7,0,2023-12-20 00:43:00,63,17
2023-12-20 00:44:00,9,1,2023-12-20 00:44:00,51,29
2023-12-20 00:45:00,3,0,2023-12-20 00:45:00,54,27
2023-12-20 00:46:00,2,1,2023-12-20 00:46:00,62,19
2023-12-20 00:47:00,3,0,2023-12-20 00:47:00,59,19
2023-12-20 00:48:00,5,1,2023-12-20 00:48:00,59,19
2023-12-20 00:49:00,3,0,2023-12-20 00:49:00,63,18
2023-12-20 00:50:00,6,3,2023-12-20 00:50:00,58,18
2023-12-20 00:51:00,4,1,2023-12-20 00:51:00,60,29
2023-12-20 00:52:00,4,2,2023-12-20 00:52:00,51,39
2023-12-20 00:53:00,2,1,2023-12-20 00:53:00,63,29
2023-12-20 00:54:00,2,1,2023-12-20 00:54:00,68,25
2023-12-20 00:55:00,2,0,2023-12-20 00:55:00,72,23
2023-12-20 00:56:00,2,0,2023-12-20 00:56:00,66,26
2023-12-20 00:57:00,3,1,2023-12-20 00:57:00,65,27
2023-12-20 00:58:00,3,1,2023-12-20 00:58:00,69,23
2023-12-20 00:59:00,1,0,2023-12-20 00:59:00,78,14
2023-12-20 01:00:00,2,0,2023-12-20 01:00:00,83,9
2023-12-20 01:01:00,3,1,2023-12-20 01:01:00,70,22
2023-12-20 01:02:00,5,1,2023-12-20 01:02:00,57,36
2023-12-20 01:03:00,5,1,2023-12-20 01:03:00,54,38
2023-12-20 01:04:00,4,1,2023-12-20 01:04:00,59,43
2023-12-20 01:05:00,3,1,2023-12-20 01:05:00,62,42
2023-12-20 01:06:00,6,2,2023-12-20 01:06:00,84,20
2023-12-20 01:07:00,8,0,2023-12-20 01:07:00,74,28
2023-12-20 01:08:00,1,1,2023-12-20 01:08:00,55,50
2023-12-20 01:09:00,5,2,2023-12-20 01:09:00,70,35
2023-12-20 01:10:00,2,0,2023-12-20 01:10:00,76,26
2023-12-20 01:11:00,8,3,2023-12-20 01:11:00,70,34
2023-12-20 01:12:00,4,2,2023-12-20 01:12:00,66,48
2023-12-20 01:13:00,3,0,2023-12-20 01:13:00,55,53
2023-12-20 01:14:00,5,2,2023-12-20 01:14:00,49,49
2023-12-20 01:15:00,7,2,2023-12-20 01:15:00,59,42
2023-12-20 01:16:00,4,1,2023-12-20 01:16:00,58,43
2023-12-20 01:17:00,8,2,2023-12-20 01:17:00,79,22
2023-12-20 01:18:00,7,2,2023-12-20 01:18:00,82,22
2023-12-20 01:19:00,2,0,2023-12-20 01:19:00,76,27
2023-12-20 01:20:00,4,3,2023-12-20 01:20:00,68,34
2023-12-20 01:21:00,8,3,2023-12-20 01:21:00,69,33
2023-12-20 01:22:00,4,1,2023-12-20 01:22:00,74,28
2023-12-20 01:23:00,5,1,2023-12-20 01:23:00,55,49
2023-12-20 01:24:00,2,0,2023-12-20 01:24:00,63,42
2023-12-20 01:25:00,8,4,2023-12-20 01:25:00,64,41
2023-12-20 01:26:00,2,1,2023-12-20 01:26:00,53,52
2023-12-20 01:27:00,4,0,2023-12-20 01:27:00,60,45
2023-12-20 01:28:00,5,1,2023-12-20 01:28:00,56,49
2023-12-20 01:29:00,2,0,2023-12-20 01:29:00,70,35
2023-12-20 01:30:00,3,2,2023-12-20 01:30:00,66,33
2023-12-20 01:31:00,5,1,2023-12-20 01:31:00,67,32
2023-12-20 01:32:00,5,1,2023-12-20 01:32:00,70,29
2023-12-20 01:33:00,3,0,2023-12-20 01:33:00,72,27
2023-12-20 01:34:00,11,2,2023-12-20 01:34:00,66,33
2023-12-20 01:35:00,1,0,2023-12-20 01:35:00,69,29
2023-12-20 01:36:00,6,0,2023-12-20 01:36:00,66,30
2023-12-20 01:37:00,4,1,2023-12-20 01:37:00,65,32
2023-12-20 01:38:00,2,0,2023-12-20 01:38:00,65,33
2023-12-20 01:39:00,6,2,2023-12-20 01:39:00,66,31
2023-12-20 01:40:00,5,0,2023-12-20 01:40:00,59,39
2023-12-20 01:41:00,5,0,2023-12-20 01:41:00,61,36
2023-12-20 01:42:00,1,0,2023-12-20 01:42:00,64,32
2023-12-20 01:43:00,1,0,2023-12-20 01:43:00,66,30
2023-12-20 01:44:00,7,4,2023-12-20 01:44:00,66,30
2023-12-20 01:45:00,3,0,2023-12-20 01:45:00,64,32
2023-12-20 01:46:00,3,0,2023-12-20 01:46:00,63,34
2023-12-20 01:47:00,5,3,2023-12-20 01:47:00,54,42
2023-12-20 01:48:00,4,2,2023-12-20 01:48:00,52,43
2023-12-20 01:49:00,4,2,2023-12-20 01:49:00,57,28
2023-12-20 01:50:00,8,1,2023-12-20 01:50:00,55,25
2023-12-20 01:51:00,3,2,2023-12-20 01:51:00,57,23
2023-12-20 01:52:00,4,0,2023-12-20 01:52:00,51,27
2023-12-20 01:53:00,1,0,2023-12-20 01:53:00,50,29
2023-12-20 01:54:00,3,1,2023-12-20 01:54:00,50,29
2023-12-20 01:55:00,6,1,2023-12-20 01:55:00,48,30
2023-12-20 01:56:00,7,2,2023-12-20 01:56:00,52,27
2023-12-20 01:57:00,5,1,2023-12-20 01:57:00,49,29
2023-12-20 01:58:00,2,0,2023-12-20 01:58:00,48,31
2023-12-20 01:59:00,8,0,2023-12-20 01:59:00,42,37
